"18 gen 2011, 20:42";"28 gen 2011, 17:15";"100 dischi per capire il jazz";"Franchi Ivo";Cer;;;;
"23 ott 2010, 16:57";"03 gen 2011, 13:40";1084;"Orwell George";L1;;;;
"11 ott 2015, 14:36";"14 giu 2016, 17:27";1940;"Epp René";U3;;;;
"01 nov 2010, 15:56";"14 giu 2016, 17:27";"2001 Odissea nello spazio";"Clarke A.C.";K1;;;;
"01 nov 2010, 16:07";"14 giu 2016, 17:27";"28 racconti";"Scott Fitzgerald Francis";K2;;;;
"01 nov 2010, 16:22";"01 nov 2010, 16:22";"5 giorni felici";"Barbieri Silvio";I2;;;;
"24 ott 2010, 12:19";"14 giu 2016, 17:27";"7 notti di sangue";"May Peter";"Crt6";;;;
"21 ago 2015, 16:08";"28 ago 2015, 13:15";"8 settembre 1943";"Giovannini Alberto";D3;;;;
"11 ott 2015, 14:22";"14 giu 2016, 17:27";"87* distretto: corpo a corpo con la mala";"McBain Ed";E4;;;;
"13 ott 2011, 16:49";"28 ago 2015, 13:15";"A letto con Maggie";"Weiner Jennifer";M5;;;;
"24 ott 2010, 13:31";"14 giu 2016, 17:27";"A ogni uomo un soldo";"Marshall Bruce";G1;;;;
"30 gen 2011, 16:23";"05 feb 2011, 21:25";"A passo di gambero";"Eco Umberto";E3;;;;
"23 ott 2010, 20:23";"23 ott 2010, 20:23";"A prova di killer";"Child Lee";O1;;;;
"23 ott 2010, 17:50";"23 ott 2010, 17:55";"A sangue freddo";"Capote Truman";L2;;;;
"23 ott 2010, 18:02";"24 ago 2015, 12:56";"A tavola con Nero Wolfe";"Stout Rex";L3;;;;
"24 ott 2010, 16:17";"24 ott 2010, 16:18";"ABC della repubblica";"Tedeschi Mario Preda Gianna";J4;;;;
"24 ott 2010, 14:49";"24 ott 2010, 14:49";"Abissi d'acciaio e altri racconti";"Asimov Isaac";J2;;;;
"24 ott 2010, 14:40";"14 giu 2016, 17:27";"Abisso del passato";"Sprague de Camp L.";G5;;;;
"26 gen 2011, 20:55";"28 gen 2011, 17:15";"Absolute Friends";"Le Carré John";Cer;;;;
"24 ott 2010, 16:33";"24 ott 2010, 16:33";"Acqua di vita";"Morton Robinson Henry";J5;;;;
"24 ott 2010, 16:24";"24 ott 2010, 16:24";"Acque profonde";"Dibner Martin";J5;;;;
"24 ott 2010, 14:26";"06 nov 2011, 11:14";"Ad occhi chiusi";"Carofiglio Gianrico";H2;;;;
"05 gen 2011, 17:11";"28 gen 2011, 17:15";"Ada o ardore";"Nabokov Vladimir";F1;;;;
"23 ott 2010, 17:21";"23 ott 2010, 17:46";"Aerei da combattenti";"Aa. Vv. ";L1;;;;
"04 gen 2011, 16:41";"04 gen 2011, 23:47";"Aesop's Fables";"Biro Val illustrazioni di";F3;;;;
"04 gen 2011, 15:11";"04 gen 2011, 23:47";"Afrodita";"Allende Isabel";G1;;;;
"23 ott 2010, 20:05";"14 giu 2016, 17:27";"Agguato sull'isola";"George elizabeth";"Da leggere";;;;
"04 gen 2011, 13:12";"04 gen 2011, 23:47";"Ai confini del mare";"O'Brian, Patrick";H1;;;;
"24 ott 2010, 14:04";"14 giu 2016, 17:27";"Al di la' del bene e del male";"Nietzsche Friedrich";N1;;;;
"04 gen 2011, 13:41";"04 gen 2011, 23:47";"Ali della notte";"Silverberg Robert";H4;;;;
"04 gen 2011, 18:57";"04 gen 2011, 23:47";"All'uscita - La nuova colonia - Lazzaro - La favola del figlio cambiato - I giganti della montagna";"Pirandello Luigi";F1;;;;
"24 ott 2010, 16:29";"24 ott 2010, 16:30";"Alla fine dell'arcobaleno";"Pohl Frederik";J5;;;;
"06 set 2015, 14:52";"14 giu 2016, 17:27";"Alla fine della notte";"Altieri Alan D.";I1;;;;
"04 gen 2011, 16:43";"04 gen 2011, 23:47";"Allegro ma non troppo";"Cipolla Carlo M.";F5;;;;
"30 gen 2011, 17:08";"14 giu 2016, 17:27";"Almanacco dei vecchi fusti";"Preda e Tedeschi";E3;;;;
"01 nov 2010, 16:23";"01 nov 2010, 16:23";"Alpi Apuane";"Nerli A.";K3;;;;
"18 gen 2011, 19:11";"28 gen 2011, 17:15";"Altezza reale";"Mann Thomas";Cer;;;;
"24 ott 2010, 12:39";"24 ott 2010, 12:39";"Alto tradimento";"Petievich Gerald";N5;;;;
"30 gen 2011, 17:11";"14 giu 2016, 17:27";"Ambasciate";"Peyrefitte Roger";E3;;;;
"01 nov 2010, 15:18";"01 nov 2010, 15:19";"Amedeo duca d'Aosta";"Aa. Vv.";I2;;;;
"06 nov 2011, 13:37";"14 giu 2016, 17:27";America;"Kafka Franz";K2;;;;
"01 nov 2010, 15:55";"14 giu 2016, 17:27";"America a passo d'uomo";"Salvalaggio Nantas";K3;;;;
"28 ott 2010, 18:10";"28 ott 2010, 23:41";"Amministrare l'urbanistica";"Campos Venuti Giuseppe ";A2;;;;
"16 ago 2012, 11:07";"29 ott 2013, 17:46";"Amy Foster";"Conrad Joseph";U2;;;;
"24 ott 2010, 17:06";"24 ott 2010, 17:06";"Analisi logica";"Tantucci Vittorio";I3;;;;
"18 gen 2011, 19:16";"28 gen 2011, 17:15";"Anatomia della distruttività umana";"Fromm Erich";Cer;;;;
"20 dic 2015, 17:00";"14 giu 2016, 17:27";Ancella;"Galsworthy John";K2;;;;
"04 gen 2011, 16:54";"14 giu 2016, 17:27";"Anche le formiche nel loro piccolo s'incazzano";"Gino & Michele Molinari M.";"Crt5";;;;
"30 gen 2011, 16:48";"14 giu 2016, 17:27";"Ancora calda";"Prather Richard ";"crt2";;;;
"30 gen 2011, 16:55";"05 feb 2011, 21:25";"Andrea del Castagno";"Berti Luciano";D1;;;;
"24 ott 2010, 12:46";"24 ott 2010, 12:46";Andromeda;"Crichton Michael";N5;;;;
"24 ott 2010, 13:09";"14 giu 2016, 17:27";"Angeli ";"Golinelli Alessandro";"crt1";;;;
"04 gen 2011, 16:17";"04 gen 2011, 23:47";"Angeli e demoni";"Brown Dan";G5;;;;
"06 set 2015, 15:10";"14 giu 2016, 17:27";"Angelo Guerriero";"Buck Pearl S.";K2;;;;
"28 ott 2010, 22:03";"28 ott 2010, 23:41";"Anita";"Crepax Guido";A2;;;;
"18 gen 2011, 19:23";"18 gen 2011, 19:24";"Anna Karenina";"Tolstoj Lev";Cer;2;;;
"23 ott 2010, 18:21";"23 ott 2010, 18:21";"Anni di cani";"Grass Gunter";L3;;;;
"04 gen 2011, 17:09";"04 gen 2011, 23:47";"Anno 3000 Battaglia per la Terra - Parte seconda";"Hubbard L. Ron";F3;;;;
"23 ott 2010, 17:01";"23 ott 2010, 17:46";"Annuario Ferrari";Vari;L1;;;;
"07 feb 2016, 15:49";"14 giu 2016, 17:27";"Anonimo veneziano";"Berto Giuseppe";U2;;;;
"06 nov 2011, 13:30";"14 giu 2016, 17:27";"Antologia di Spoon River";"Lee Masters Edgar";U3;;;;
"23 ott 2010, 18:44";"23 ott 2010, 18:44";Apocalisse;"Sclavi Tiziano";L4;;;;
"23 ott 2010, 18:16";"23 ott 2010, 18:16";"Apocalisse criminale";"Loyd Anthony";L3;;;;
"30 gen 2011, 16:21";"05 feb 2011, 21:25";"Apocalittici e integrati";"Eco Umberto";E3;;;;
